page_id,lec_id
mir-2261-335,lecture-7
iir-2262-458,lecture-8
iir-2263-458,lecture-8
iir-2263-459,lecture-8
iir-2263-460,lecture-8
iir-2264-460,lecture-8
iir-2264-461,lecture-8
iir-2264-462,lecture-8
iir-2265-462,lecture-8
iir-2265-463,lecture-8
iir-2265-464,lecture-8
iir-2266-464,lecture-8
iir-2266-465,lecture-8
iir-2266-466,lecture-8
iir-2267-466,lecture-8
iir-2267-467,lecture-8
iir-2267-468,lecture-8
iir-2267-469,lecture-8
iir-2268-469,lecture-8
iir-2269-469,lecture-8
iir-2269-470,lecture-8
iir-2270-470,lecture-8
iir-2270-471,lecture-8
iir-2270-472,lecture-8
iir-2270-473,lecture-8
iir-2270-474,lecture-8
iir-2271-474,lecture-8
iir-2271-475,lecture-8
iir-2271-476,lecture-8
iir-2271-477,lecture-8
iir-2271-478,lecture-8
iir-2272-478,lecture-8
iir-2272-479,lecture-8
iir-2273-498,lecture-8
iir-2273-499,lecture-8
iir-2274-499,lecture-8
iir-2275-499,lecture-8
iir-2275-500,lecture-8
iir-2275-501,lecture-8
iir-2276-501,lecture-8
iir-2276-502,lecture-8
iir-2277-502,lecture-8
iir-2277-503,lecture-8
iir-2277-504,lecture-8
iir-2277-505,lecture-8
iir-2278-505,lecture-8
iir-2278-506,lecture-8
iir-2278-507,lecture-8
iir-2278-508,lecture-8
iir-2279-508,lecture-8
iir-2279-509,lecture-8
iir-2279-510,lecture-8
iir-2279-511,lecture-8
iir-2280-511,lecture-8
iir-2280-512,lecture-8
iir-2280-513,lecture-8
iir-2280-514,lecture-8
iir-2281-514,lecture-8
iir-2281-515,lecture-8
iir-2281-516,lecture-8
iir-2281-517,lecture-8
iir-2282-517,lecture-8
iir-2282-518,lecture-8
mir-2283-379,lecture-8
mir-2284-379,lecture-8
mir-2284-380,lecture-8
mir-2285-380,lecture-8
mir-2285-381,lecture-8
mir-2286-381,lecture-8
mir-2287-381,lecture-8
mir-2287-382,lecture-8
mir-2287-383,lecture-8
mir-2288-383,lecture-8
mir-2288-384,lecture-8
mir-2288-385,lecture-8
mir-2289-385,lecture-8
mir-2290-385,lecture-8
mir-2290-386,lecture-8
mir-2290-387,lecture-8
mir-2291-387,lecture-8
mir-2291-388,lecture-8
mir-2291-389,lecture-8
mir-2292-389,lecture-8
mir-2292-390,lecture-8
mir-2292-391,lecture-8
mir-2292-392,lecture-8
